Valores iniciais calculados:
Temperatura Inicial Média: 22.2 °C
Humidade Inicial Média: 57.0 %
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:22   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:23   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:24   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:25   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:26   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:27   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:28   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:29   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:30   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:31   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:32   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:33   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:34   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:35   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:36   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:37   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:38   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:39   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:40   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:41   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:42   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:43   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:44   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:45   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:46   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:47   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:48   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:49   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:50   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:51   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:52   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:53   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 54.0 %   | OFF     | 12:54   |
| 22.2 °C             | 57.0 %           | 22.8 °C     | OFF      | 54.0 %   | OFF     | 12:55   |
| 22.2 °C             | 57.0 %           | 22.8 °C     | OFF      | 54.0 %   | OFF     | 12:56   |
| 22.2 °C             | 57.0 %           | 22.7 °C     | OFF      | 54.0 %   | OFF     | 12:57   |
| 22.2 °C             | 57.0 %           | 22.7 °C     | OFF      | 54.0 %   | OFF     | 12:58   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 12:59   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:00   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:01   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:02   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:03   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:04   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:05   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:06   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:07   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:08   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:09   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:10   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:11   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:12   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:13   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:14   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 54.0 %   | OFF     | 13:15   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:16   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:17   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:18   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:19   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:20   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:21   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:22   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:23   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:24   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:25   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:26   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:27   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:28   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:29   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:30   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 55.0 %   | OFF     | 13:31   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 57.0 %   | OFF     | 13:32   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 57.0 %   | OFF     | 13:33   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:34   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:35   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:36   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:37   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:38   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:39   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:40   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:41   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:42   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:43   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:44   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:45   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:46   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:47   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:48   |
| 22.2 °C             | 57.0 %           | 22.6 °C     | OFF      | 59.0 %   | OFF     | 13:49   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 59.0 %   | OFF     | 13:50   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 59.0 %   | OFF     | 13:51   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 59.0 %   | OFF     | 13:52   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 59.0 %   | OFF     | 13:53   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 60.0 %   | OFF     | 13:54   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 60.0 %   | OFF     | 13:55   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 13:56   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 13:57   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 13:58   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 13:59   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:00   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:01   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:02   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:03   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:04   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 60.0 %   | OFF     | 14:05   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:06   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:07   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:08   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:09   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:10   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:11   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:12   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:13   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:14   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:15   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:16   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:17   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:18   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:19   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 59.0 %   | OFF     | 14:20   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:21   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:22   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:23   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:24   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:25   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:26   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:27   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 58.0 %   | OFF     | 14:28   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:29   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:30   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:31   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:32   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:33   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:34   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:35   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:36   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:37   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:38   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:39   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:40   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:30   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:31   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:32   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:33   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:34   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:35   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:36   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:37   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:38   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:39   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:40   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:41   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 57.0 %   | OFF     | 14:42   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:43   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:44   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:45   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:46   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:47   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:48   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:49   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:50   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:51   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:52   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:53   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:54   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:55   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:56   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:57   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:58   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 56.0 %   | OFF     | 14:59   |
+---------------------+------------------+-------------+----------+----------+---------+---------+

15 minutos de leituras concluídos. Parando o sistema.

